index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccptrans,3,16,3,12,network
1,hpccrandomring,8,16,2,6,network
2,hpccdgemm,7,16,1,6,cpu
3,hpccdgemm,8,16,3,10,cpu
4,hpccrandomring,7,16,4,9,network
5,hpccrandomring,0,16,2,6,network
6,hpccstream,5,16,2,8,memory
7,hpccdgemm,2,16,4,11,cpu
8,hpccfft,2,16,1,10,network
9,hpccdgemm,3,16,3,7,cpu
10,hpccstream,0,16,4,14,memory
11,hpccrandomaccess,4,16,3,10,network
12,hpccptrans,9,16,1,14,network
13,hpccfft,0,16,2,6,network
14,hpccstream,8,16,2,9,memory
15,hpccfft,5,16,1,12,network
16,hpccptrans,7,16,1,7,network
17,hpccstream,4,16,3,4,memory
18,hpccrandomaccess,5,16,2,12,network
19,hpccrandomaccess,3,16,4,11,network
20,hpccrandomaccess,6,16,3,15,network
21,hpccptrans,6,16,4,5,network
22,hpccfft,4,16,3,9,network
23,hpccdgemm,5,16,4,8,cpu
24,hpccptrans,5,16,2,10,network
25,hpccrandomaccess,8,16,2,8,network
26,hpccfft,8,16,1,9,network
27,hpccptrans,8,16,3,12,network
28,hpccdgemm,9,16,2,9,cpu
29,hpccrandomring,2,16,2,13,network
30,hpccfft,9,16,2,8,network
31,hpccdgemm,6,16,1,11,cpu
32,hpccptrans,1,16,1,6,network
33,hpccdgemm,1,16,4,7,cpu
34,hpccdgemm,0,16,3,13,cpu
35,hpccstream,1,16,2,6,memory
36,hpccrandomaccess,1,16,4,12,network
37,hpccfft,6,16,1,11,network
38,hpccrandomaccess,7,16,3,11,network
39,hpccptrans,2,16,1,10,network
40,hpccfft,1,16,1,8,network
41,hpccdgemm,4,16,2,11,cpu
42,hpccrandomring,6,16,2,13,network
43,hpccrandomring,1,16,1,15,network
44,hpccfft,7,16,3,4,network
45,hpccstream,6,16,1,13,memory
46,hpccrandomring,5,16,2,12,network
47,hpccptrans,4,16,1,14,network
48,hpccstream,3,16,3,13,memory
49,hpccrandomaccess,0,16,1,10,network
50,hpccrandomring,4,16,1,6,network
51,hpccrandomring,9,16,3,18,network
52,hpccstream,9,16,2,17,memory
53,hpccrandomaccess,9,16,1,9,network
54,hpccstream,2,16,2,12,memory
55,hpccstream,7,16,3,10,memory
56,hpccptrans,0,16,3,5,network
57,hpccfft,3,16,2,5,network
58,hpccrandomaccess,2,16,2,16,network
59,hpccrandomring,3,16,2,6,network
