index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccdgemm,1,16,4,13,cpu
1,hpccstream,2,16,4,8,memory
2,hpccfft,0,16,4,10,network
3,hpccfft,7,16,1,6,network
4,hpccrandomaccess,4,16,1,7,network
5,hpccrandomaccess,0,16,4,18,network
6,hpccfft,1,16,2,6,network
7,hpccstream,7,16,4,14,memory
8,hpccstream,9,16,3,6,memory
9,hpccptrans,5,16,4,8,network
10,hpccrandomring,3,16,4,11,network
11,hpccrandomring,0,16,3,3,network
12,hpccstream,8,16,1,14,memory
13,hpccrandomring,8,16,3,9,network
14,hpccptrans,8,16,4,11,network
15,hpccdgemm,2,16,2,7,cpu
16,hpccstream,1,16,3,8,memory
17,hpccdgemm,6,16,3,8,cpu
18,hpccdgemm,4,16,4,10,cpu
19,hpccptrans,4,16,4,11,network
20,hpccfft,2,16,4,15,network
21,hpccstream,6,16,2,6,memory
22,hpccptrans,7,16,2,14,network
23,hpccdgemm,8,16,2,10,cpu
24,hpccrandomaccess,7,16,2,10,network
25,hpccdgemm,7,16,4,11,cpu
26,hpccfft,5,16,3,4,network
27,hpccrandomring,2,16,3,7,network
28,hpccfft,3,16,1,10,network
29,hpccfft,8,16,3,9,network
30,hpccdgemm,3,16,1,10,cpu
31,hpccstream,4,16,3,11,memory
32,hpccrandomaccess,5,16,2,10,network
33,hpccfft,9,16,4,11,network
34,hpccrandomaccess,3,16,2,12,network
35,hpccstream,3,16,4,13,memory
36,hpccrandomaccess,9,16,2,9,network
37,hpccfft,6,16,2,8,network
38,hpccrandomaccess,6,16,4,9,network
39,hpccptrans,6,16,2,10,network
40,hpccrandomaccess,2,16,3,11,network
41,hpccrandomaccess,8,16,2,8,network
42,hpccrandomring,9,16,2,9,network
43,hpccstream,0,16,3,11,memory
44,hpccptrans,0,16,3,12,network
45,hpccstream,5,16,1,10,memory
46,hpccptrans,2,16,1,8,network
47,hpccptrans,9,16,3,11,network
48,hpccrandomring,4,16,4,15,network
49,hpccrandomring,7,16,2,6,network
50,hpccrandomring,1,16,1,9,network
51,hpccdgemm,5,16,2,18,cpu
52,hpccptrans,1,16,1,7,network
53,hpccrandomring,6,16,3,9,network
54,hpccdgemm,9,16,4,13,cpu
55,hpccfft,4,16,2,8,network
56,hpccrandomaccess,1,16,2,10,network
57,hpccdgemm,0,16,3,8,cpu
58,hpccrandomring,5,16,4,11,network
59,hpccptrans,3,16,3,5,network
