index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccfft,8,16,2,12,network
1,hpccptrans,2,16,4,11,network
2,hpccrandomaccess,2,16,4,9,network
3,hpccfft,3,16,4,12,network
4,hpccrandomaccess,4,16,2,9,network
5,hpccrandomaccess,5,16,3,11,network
6,hpccstream,9,16,2,5,memory
7,hpccrandomring,9,16,1,10,network
8,hpccdgemm,9,16,3,8,cpu
9,hpccrandomaccess,0,16,2,11,network
10,hpccfft,9,16,3,8,network
11,hpccstream,7,16,4,14,memory
12,hpccstream,3,16,2,14,memory
13,hpccfft,4,16,1,17,network
14,hpccptrans,1,16,2,16,network
15,hpccptrans,9,16,1,11,network
16,hpccdgemm,8,16,3,12,cpu
17,hpccdgemm,0,16,4,5,cpu
18,hpccptrans,5,16,2,11,network
19,hpccrandomaccess,7,16,3,8,network
20,hpccptrans,0,16,3,13,network
21,hpccptrans,4,16,4,16,network
22,hpccstream,5,16,3,10,memory
23,hpccrandomaccess,8,16,4,17,network
24,hpccrandomring,7,16,4,8,network
25,hpccdgemm,4,16,1,16,cpu
26,hpccptrans,7,16,1,5,network
27,hpccrandomaccess,3,16,3,12,network
28,hpccdgemm,6,16,4,11,cpu
29,hpccrandomring,0,16,1,10,network
30,hpccfft,2,16,2,13,network
31,hpccrandomaccess,9,16,4,15,network
32,hpccrandomring,1,16,3,15,network
33,hpccrandomaccess,6,16,2,8,network
34,hpccfft,1,16,4,9,network
35,hpccfft,7,16,2,15,network
36,hpccptrans,6,16,3,5,network
37,hpccrandomring,3,16,2,11,network
38,hpccdgemm,1,16,3,11,cpu
39,hpccstream,1,16,2,7,memory
40,hpccrandomring,6,16,4,10,network
41,hpccrandomring,8,16,4,3,network
42,hpccstream,6,16,1,7,memory
43,hpccfft,0,16,3,16,network
44,hpccfft,5,16,2,9,network
45,hpccstream,4,16,4,9,memory
46,hpccdgemm,5,16,1,10,cpu
47,hpccstream,0,16,3,11,memory
48,hpccdgemm,3,16,3,11,cpu
49,hpccdgemm,7,16,2,13,cpu
50,hpccrandomring,5,16,3,10,network
51,hpccstream,2,16,1,9,memory
52,hpccptrans,8,16,3,8,network
53,hpccrandomring,4,16,2,9,network
54,hpccptrans,3,16,4,8,network
55,hpccstream,8,16,3,16,memory
56,hpccrandomaccess,1,16,1,4,network
57,hpccrandomring,2,16,1,13,network
58,hpccdgemm,2,16,1,14,cpu
59,hpccfft,6,16,3,7,network
