index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccrandomaccess,3,16,1,6,network
1,hpccdgemm,3,16,2,8,cpu
2,hpccptrans,2,16,1,9,network
3,hpccdgemm,6,16,3,9,cpu
4,hpccptrans,9,16,4,14,network
5,hpccfft,7,16,4,4,network
6,hpccrandomaccess,6,16,2,6,network
7,hpccrandomring,4,16,2,8,network
8,hpccdgemm,9,16,1,9,cpu
9,hpccstream,0,16,2,11,memory
10,hpccstream,7,16,3,12,memory
11,hpccptrans,0,16,2,11,network
12,hpccptrans,4,16,2,11,network
13,hpccrandomaccess,2,16,2,12,network
14,hpccstream,3,16,3,8,memory
15,hpccdgemm,2,16,2,7,cpu
16,hpccptrans,7,16,3,9,network
17,hpccstream,9,16,3,3,memory
18,hpccrandomaccess,5,16,3,11,network
19,hpccrandomaccess,4,16,1,12,network
20,hpccrandomring,2,16,2,12,network
21,hpccfft,6,16,1,7,network
22,hpccrandomring,9,16,2,6,network
23,hpccrandomring,3,16,1,6,network
24,hpccdgemm,8,16,3,5,cpu
25,hpccstream,6,16,3,7,memory
26,hpccfft,8,16,3,12,network
27,hpccstream,4,16,1,12,memory
28,hpccstream,5,16,1,12,memory
29,hpccptrans,5,16,3,5,network
30,hpccrandomaccess,9,16,4,9,network
31,hpccstream,2,16,2,7,memory
32,hpccfft,3,16,2,9,network
33,hpccdgemm,7,16,3,5,cpu
34,hpccrandomaccess,8,16,3,12,network
35,hpccstream,1,16,2,11,memory
36,hpccrandomring,5,16,3,12,network
37,hpccrandomaccess,7,16,4,10,network
38,hpccfft,4,16,2,12,network
39,hpccdgemm,4,16,3,12,cpu
40,hpccdgemm,5,16,3,10,cpu
41,hpccrandomring,8,16,1,12,network
42,hpccrandomring,6,16,1,8,network
43,hpccrandomring,1,16,1,5,network
44,hpccstream,8,16,1,11,memory
45,hpccdgemm,0,16,1,7,cpu
46,hpccrandomring,7,16,1,9,network
47,hpccptrans,1,16,3,5,network
48,hpccrandomaccess,1,16,2,8,network
49,hpccfft,9,16,3,15,network
50,hpccptrans,3,16,1,11,network
51,hpccrandomring,0,16,1,11,network
52,hpccdgemm,1,16,1,9,cpu
53,hpccrandomaccess,0,16,4,17,network
54,hpccptrans,8,16,2,18,network
55,hpccfft,1,16,1,9,network
56,hpccfft,5,16,4,4,network
57,hpccfft,0,16,1,11,network
58,hpccptrans,6,16,3,6,network
59,hpccfft,2,16,4,9,network
