index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccfft,4,16,2,8,network
1,hpccdgemm,0,16,2,9,cpu
2,hpccrandomaccess,4,16,4,9,network
3,hpccrandomaccess,7,16,4,15,network
4,hpccrandomaccess,1,16,1,12,network
5,hpccstream,7,16,4,13,memory
6,hpccstream,2,16,2,7,memory
7,hpccfft,9,16,1,5,network
8,hpccstream,9,16,3,12,memory
9,hpccfft,8,16,1,11,network
10,hpccfft,0,16,1,14,network
11,hpccdgemm,3,16,1,9,cpu
12,hpccfft,1,16,1,12,network
13,hpccrandomaccess,9,16,2,9,network
14,hpccrandomaccess,0,16,3,9,network
15,hpccstream,6,16,3,15,memory
16,hpccfft,6,16,3,7,network
17,hpccrandomring,9,16,4,8,network
18,hpccptrans,0,16,1,12,network
19,hpccrandomring,2,16,4,10,network
20,hpccstream,4,16,4,11,memory
21,hpccstream,0,16,2,17,memory
22,hpccdgemm,7,16,1,13,cpu
23,hpccrandomring,7,16,4,8,network
24,hpccdgemm,9,16,3,9,cpu
25,hpccfft,5,16,3,20,network
26,hpccptrans,6,16,4,9,network
27,hpccptrans,3,16,4,10,network
28,hpccstream,8,16,4,8,memory
29,hpccrandomaccess,3,16,4,11,network
30,hpccrandomring,1,16,3,4,network
31,hpccfft,2,16,4,10,network
32,hpccfft,7,16,2,17,network
33,hpccptrans,9,16,4,13,network
34,hpccrandomaccess,8,16,3,8,network
35,hpccstream,5,16,1,18,memory
36,hpccrandomaccess,6,16,1,10,network
37,hpccptrans,7,16,2,16,network
38,hpccrandomaccess,5,16,4,6,network
39,hpccdgemm,8,16,1,5,cpu
40,hpccptrans,1,16,2,5,network
41,hpccptrans,5,16,2,4,network
42,hpccrandomring,0,16,4,10,network
43,hpccptrans,2,16,1,12,network
44,hpccrandomaccess,2,16,4,6,network
45,hpccfft,3,16,4,12,network
46,hpccstream,3,16,4,14,memory
47,hpccrandomring,6,16,4,8,network
48,hpccstream,1,16,2,10,memory
49,hpccrandomring,3,16,4,13,network
50,hpccrandomring,4,16,3,7,network
51,hpccdgemm,5,16,1,12,cpu
52,hpccdgemm,1,16,1,11,cpu
53,hpccdgemm,2,16,1,9,cpu
54,hpccptrans,4,16,1,14,network
55,hpccdgemm,4,16,3,9,cpu
56,hpccrandomring,8,16,3,9,network
57,hpccrandomring,5,16,2,12,network
58,hpccptrans,8,16,3,15,network
59,hpccdgemm,6,16,1,13,cpu
