index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccrandomring,2,16,1,9,network
1,hpccfft,7,16,3,9,network
2,hpccptrans,6,16,1,15,network
3,hpccdgemm,9,16,2,8,cpu
4,hpccrandomring,7,16,3,9,network
5,hpccrandomring,1,16,4,9,network
6,hpccfft,9,16,2,13,network
7,hpccrandomring,3,16,2,7,network
8,hpccptrans,4,16,1,6,network
9,hpccptrans,7,16,3,6,network
10,hpccptrans,1,16,3,11,network
11,hpccstream,3,16,2,6,memory
12,hpccrandomring,0,16,3,8,network
13,hpccstream,8,16,4,11,memory
14,hpccrandomaccess,0,16,4,14,network
15,hpccfft,3,16,3,14,network
16,hpccdgemm,8,16,4,8,cpu
17,hpccptrans,3,16,4,9,network
18,hpccdgemm,2,16,3,16,cpu
19,hpccdgemm,3,16,2,9,cpu
20,hpccrandomaccess,5,16,3,5,network
21,hpccrandomaccess,2,16,4,11,network
22,hpccstream,7,16,3,7,memory
23,hpccstream,1,16,3,5,memory
24,hpccrandomaccess,4,16,2,12,network
25,hpccrandomaccess,8,16,1,7,network
26,hpccptrans,5,16,3,9,network
27,hpccrandomring,6,16,1,7,network
28,hpccdgemm,4,16,4,11,cpu
29,hpccstream,6,16,2,7,memory
30,hpccdgemm,6,16,2,16,cpu
31,hpccdgemm,0,16,2,8,cpu
32,hpccfft,1,16,4,9,network
33,hpccfft,8,16,1,7,network
34,hpccrandomring,5,16,3,14,network
35,hpccrandomaccess,9,16,4,12,network
36,hpccfft,4,16,4,9,network
37,hpccstream,4,16,4,12,memory
38,hpccrandomring,8,16,1,8,network
39,hpccfft,5,16,4,9,network
40,hpccrandomaccess,7,16,2,10,network
41,hpccptrans,0,16,1,11,network
42,hpccptrans,2,16,4,5,network
43,hpccfft,0,16,4,10,network
44,hpccrandomring,4,16,3,14,network
45,hpccrandomaccess,1,16,3,6,network
46,hpccdgemm,1,16,2,8,cpu
47,hpccstream,0,16,4,12,memory
48,hpccstream,5,16,2,15,memory
49,hpccdgemm,7,16,4,10,cpu
50,hpccrandomaccess,3,16,4,13,network
51,hpccptrans,9,16,1,10,network
52,hpccdgemm,5,16,3,10,cpu
53,hpccfft,6,16,3,14,network
54,hpccstream,9,16,2,12,memory
55,hpccrandomring,9,16,4,10,network
56,hpccfft,2,16,1,5,network
57,hpccptrans,8,16,4,8,network
58,hpccstream,2,16,4,7,memory
59,hpccrandomaccess,6,16,3,18,network
