index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccfft,6,16,4,11,network
1,hpccstream,3,16,1,10,memory
2,hpccrandomaccess,5,16,1,15,network
3,hpccrandomring,8,16,3,9,network
4,hpccrandomring,1,16,1,12,network
5,hpccrandomring,0,16,1,13,network
6,hpccdgemm,3,16,2,12,cpu
7,hpccfft,5,16,2,5,network
8,hpccdgemm,2,16,4,9,cpu
9,hpccrandomaccess,9,16,2,6,network
10,hpccrandomring,6,16,1,11,network
11,hpccfft,8,16,2,6,network
12,hpccstream,4,16,4,9,memory
13,hpccfft,1,16,4,9,network
14,hpccstream,9,16,2,10,memory
15,hpccptrans,2,16,2,15,network
16,hpccfft,2,16,1,11,network
17,hpccptrans,3,16,4,10,network
18,hpccrandomaccess,4,16,3,17,network
19,hpccstream,0,16,2,6,memory
20,hpccrandomaccess,3,16,2,9,network
21,hpccstream,7,16,4,8,memory
22,hpccrandomring,9,16,1,6,network
23,hpccfft,9,16,3,3,network
24,hpccdgemm,8,16,4,9,cpu
25,hpccstream,8,16,3,10,memory
26,hpccfft,0,16,4,10,network
27,hpccrandomaccess,1,16,3,7,network
28,hpccrandomaccess,8,16,2,12,network
29,hpccdgemm,4,16,4,13,cpu
30,hpccptrans,7,16,3,6,network
31,hpccstream,1,16,4,12,memory
32,hpccrandomring,3,16,3,10,network
33,hpccfft,4,16,2,11,network
34,hpccptrans,5,16,4,8,network
35,hpccrandomaccess,7,16,1,13,network
36,hpccdgemm,1,16,2,12,cpu
37,hpccrandomring,2,16,4,9,network
38,hpccdgemm,9,16,1,15,cpu
39,hpccdgemm,7,16,1,8,cpu
40,hpccfft,7,16,3,11,network
41,hpccptrans,8,16,3,8,network
42,hpccstream,5,16,1,10,memory
43,hpccrandomaccess,2,16,3,10,network
44,hpccrandomring,7,16,1,7,network
45,hpccrandomring,4,16,2,8,network
46,hpccdgemm,6,16,4,11,cpu
47,hpccdgemm,5,16,2,7,cpu
48,hpccptrans,4,16,1,13,network
49,hpccstream,2,16,1,8,memory
50,hpccptrans,1,16,3,10,network
51,hpccrandomaccess,0,16,2,8,network
52,hpccstream,6,16,3,10,memory
53,hpccdgemm,0,16,4,10,cpu
54,hpccrandomring,5,16,4,10,network
55,hpccrandomaccess,6,16,1,10,network
56,hpccptrans,0,16,4,16,network
57,hpccptrans,6,16,3,12,network
58,hpccptrans,9,16,3,10,network
59,hpccfft,3,16,4,13,network
