index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccdgemm,2,16,4,553,cpu
1,hpccstream,0,16,4,154,memory
2,hpccdgemm,0,16,4,896,cpu
3,minife,0,16,4,708,cpu
4,hpccstream,2,16,4,584,memory
5,minife,2,16,4,272,cpu
6,hpccrandomring,0,16,1,472,network
7,hpccdgemm,3,16,4,651,cpu
8,hpccstream,1,16,4,853,memory
9,hpccrandomring,1,16,1,747,network
10,hpccfft,3,16,1,684,network
11,minife,3,16,4,195,cpu
12,hpccfft,2,16,1,1167,network
13,hpccrandomring,2,16,1,0,network
14,hpccstream,3,16,4,385,memory
15,hpccfft,0,16,1,498,network
16,hpccdgemm,1,16,4,42,cpu
17,minife,1,16,4,810,cpu
18,hpccrandomring,3,16,1,612,network
19,hpccfft,1,16,1,255,network
