index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccdgemm,5,16,2,11,cpu
1,hpccrandomring,2,16,2,11,network
2,hpccfft,8,16,3,9,network
3,hpccrandomaccess,5,16,2,5,network
4,hpccrandomring,4,16,2,11,network
5,hpccstream,9,16,2,10,memory
6,hpccfft,5,16,2,9,network
7,hpccptrans,7,16,4,15,network
8,hpccrandomring,6,16,1,4,network
9,hpccptrans,6,16,4,20,network
10,hpccdgemm,2,16,4,10,cpu
11,hpccdgemm,9,16,4,14,cpu
12,hpccrandomaccess,3,16,3,11,network
13,hpccfft,2,16,4,5,network
14,hpccptrans,8,16,1,6,network
15,hpccrandomring,9,16,3,9,network
16,hpccrandomaccess,6,16,2,6,network
17,hpccrandomring,7,16,2,13,network
18,hpccptrans,5,16,3,7,network
19,hpccrandomring,1,16,4,6,network
20,hpccfft,1,16,1,12,network
21,hpccptrans,3,16,4,8,network
22,hpccdgemm,4,16,4,6,cpu
23,hpccdgemm,3,16,1,5,cpu
24,hpccstream,5,16,2,5,memory
25,hpccrandomring,8,16,2,8,network
26,hpccstream,8,16,1,11,memory
27,hpccrandomaccess,8,16,4,15,network
28,hpccdgemm,1,16,2,9,cpu
29,hpccrandomaccess,0,16,1,4,network
30,hpccdgemm,6,16,2,12,cpu
31,hpccrandomaccess,1,16,3,13,network
32,hpccfft,6,16,4,6,network
33,hpccrandomring,3,16,2,11,network
34,hpccptrans,4,16,4,7,network
35,hpccstream,7,16,3,10,memory
36,hpccptrans,2,16,2,17,network
37,hpccfft,4,16,4,10,network
38,hpccptrans,9,16,3,10,network
39,hpccfft,9,16,3,10,network
40,hpccrandomaccess,9,16,4,13,network
41,hpccfft,7,16,1,11,network
42,hpccptrans,0,16,4,12,network
43,hpccstream,4,16,3,10,memory
44,hpccrandomaccess,7,16,1,18,network
45,hpccdgemm,0,16,2,11,cpu
46,hpccptrans,1,16,3,12,network
47,hpccrandomring,5,16,3,10,network
48,hpccdgemm,8,16,1,6,cpu
49,hpccfft,3,16,4,5,network
50,hpccstream,3,16,4,11,memory
51,hpccdgemm,7,16,1,9,cpu
52,hpccrandomaccess,2,16,1,7,network
53,hpccrandomaccess,4,16,4,11,network
54,hpccstream,6,16,2,7,memory
55,hpccfft,0,16,1,9,network
56,hpccstream,2,16,4,12,memory
57,hpccrandomring,0,16,4,16,network
58,hpccstream,1,16,4,8,memory
59,hpccstream,0,16,2,7,memory
